"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2022,"MEX","48400084",48402756,"ISCED 3A","ISCED 2","male","yes","yes",493.613,512.251,473.185,221.2078,NA,"yes",NA,NA,"3+","3+","11-25",NA,-0.1097
2022,"MEX","48400020",48402757,"ISCED 3A","ISCED 3A","male","yes","yes",337.26,340.089,340.257,97.73265,NA,"yes",NA,"2","1","2","11-25",NA,0.2488
2022,"MEX","48400070",48402758,NA,NA,"male",NA,NA,425.57,375.959,478.247,214.144,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"MEX","48400078",48402759,"ISCED 3B, C","less than ISCED1","male","no","no",352.981,401.505,358.692,218.984,NA,"yes",NA,NA,NA,"1","26-100",NA,-0.1008
2022,"MEX","48400169",48402760,"ISCED 1","ISCED 1","female","yes","no",323.147,349.506,306.47,452.1381,NA,"no",NA,"1","1","0","101-200",NA,-1.9587
2022,"MEX","48400130",48402761,"ISCED 2","ISCED 2","female","no","yes",317.121,346.193,331.877,133.3853,NA,"no",NA,"1","0","3+","0-10",NA,-2.5599
2022,"MEX","48400077",48402762,"ISCED 2","ISCED 3A","female","yes","yes",293.62,274.708,342.629,189.3171,NA,"no",NA,"1","1","0","11-25",NA,0.0378
2022,"MEX","48400017",48402763,"ISCED 1","ISCED 3B, C","male","no","yes",350.452,393.947,406.089,209.5758,NA,"no",NA,"2","1","2","11-25",NA,0.5762
2022,"MEX","48400033",48402764,"ISCED 3A","ISCED 3A","female","yes","yes",344.238,375.95,418.751,83.33217,NA,"no",NA,"1","0","1","11-25",NA,-0.9862
2022,"MEX","48400006",48402765,"ISCED 3A","ISCED 3A","female","yes","yes",453.586,481.469,425.435,193.5209,NA,"yes",NA,"1","1","1","26-100",NA,0.7061
2022,"MEX","48400009",48402766,"ISCED 3A","ISCED 3B, C","female","yes","yes",410.94,342.145,426.574,216.1905,NA,"yes",NA,"1","1","0","11-25",NA,-0.3932
2022,"MEX","48400276",48402767,"ISCED 2","ISCED 1","male","yes","yes",373.359,326.841,401.269,177.4566,NA,"yes",NA,"2","0","0","11-25",NA,-1.8917
2022,"MEX","48400073",48402768,"ISCED 2","ISCED 1","female","yes","yes",440.841,441.907,434.497,238.5177,NA,"yes",NA,"1","1","2","0-10",NA,-0.7456
2022,"MEX","48400052",48402770,"ISCED 2","ISCED 2","male","yes","yes",385.998,442.15,445.238,187.2602,NA,"no",NA,"1","0","0","11-25",NA,-0.3111
2022,"MEX","48400211",48402771,"ISCED 2","ISCED 2","female","yes","yes",397.195,464.594,419.322,182.0851,NA,"no",NA,"2","1","3+","101-200",NA,-1.1332
2022,"MEX","48400172",48402773,"ISCED 2","ISCED 2","female","yes","yes",449.219,480.25,441.634,223.0441,NA,"no",NA,"1","1","1","11-25",NA,-1.8569
2022,"MEX","48400081",48402774,"ISCED 1","ISCED 1","male","no","yes",357.312,313.694,369.312,267.157,NA,"yes",NA,"1","0","3+","26-100",NA,-0.8254
2022,"MEX","48400249",48402775,"ISCED 1","ISCED 2","female","no","yes",261.603,328.813,337.101,218.0442,NA,"yes",NA,"1","0","1","11-25",NA,-2.0644
2022,"MEX","48400019",48402776,"ISCED 3B, C","ISCED 3A","male","yes","yes",411.58,426.434,398.915,198.3098,NA,"yes",NA,"2","0","2","101-200",NA,0.8072
2022,"MEX","48400152",48402777,"ISCED 3A","ISCED 3A","male","no","no",357.347,348.919,388.788,101.3979,NA,"no",NA,"1","0","0","11-25",NA,-1.8994
2022,"MEX","48400205",48402778,"ISCED 3B, C","ISCED 3B, C","male",NA,NA,265.221,232.218,191.057,81.57762,NA,"yes",NA,NA,NA,"0","11-25",NA,-1.5699
2022,"MEX","48400008",48402779,"ISCED 3A","ISCED 3A","female","yes","yes",345.979,356.392,400.177,118.5916,NA,"yes",NA,"1","1","2","201-500",NA,0.122
2022,"MEX","48400093",48402780,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",365.719,416.721,394.699,240.0961,NA,"yes",NA,"1","1","1","201-500",NA,0.495
2022,"MEX","48400066",48402781,"ISCED 2","ISCED 2","female","no","yes",342.189,311.566,377.69,182.3948,NA,"yes",NA,"1","1","0","11-25",NA,-2.0662
2022,"MEX","48400107",48402782,"ISCED 3A","ISCED 2","male","no","no",374.487,338.751,394.101,198.5455,NA,"yes",NA,"2","1","1","11-25",NA,-1.4111
2022,"MEX","48400013",48402785,"ISCED 3A","ISCED 3A","male","yes","yes",363.101,394.338,417.534,220.2676,NA,"yes",NA,"1","1","1","11-25",NA,-0.4903
2022,"MEX","48400027",48402786,"ISCED 1","ISCED 2","female","no","yes",302.54,280.109,310.786,139.7339,NA,"yes",NA,"1","0","0","26-100",NA,-1.9438
2022,"MEX","48400139",48402787,"ISCED 3A","ISCED 3A","male","no","yes",366.43,431.489,390.732,191.8672,NA,"no",NA,"1","0","0","11-25",NA,-1.7448
2022,"MEX","48400203",48402788,"ISCED 2","ISCED 2","female","yes","no",371.169,403.637,404.85,337.2416,NA,"no",NA,"1","0","0","26-100",NA,-1.9273
2022,"MEX","48400277",48402789,"ISCED 2","ISCED 2","female","no","yes",336.154,396.661,408.556,136.4479,NA,"yes",NA,"2","0","1","11-25",NA,-1.1291
2022,"MEX","48400109",48402790,"ISCED 3A","ISCED 3B, C","female","no","yes",282.831,327.531,336.289,208.4727,NA,"yes",NA,"1","0","1","11-25",NA,-0.1953
2022,"MEX","48400206",48402791,"ISCED 3A","ISCED 3A","female","no","yes",267.142,309.904,210.635,442.181,NA,"yes",NA,"1","0","0","101-200",NA,-1.7031
2022,"MEX","48400267",48402792,"ISCED 3A","ISCED 3A","female","yes","yes",574.948,617.515,551.632,183.914,NA,"no",NA,"2","0","2","more than 500",NA,1.0599
2022,"MEX","48400088",48402793,"ISCED 3A","ISCED 3B, C","male","yes","yes",442.433,484.085,511.647,242.1673,NA,"yes",NA,"2","1","2","11-25",NA,0.2227
2022,"MEX","48400273",48402794,"ISCED 2","ISCED 3B, C","male","no","yes",437.688,518.037,471.866,214.6083,NA,"no",NA,"1","0","1","201-500",NA,0.2279
2022,"MEX","48400052",48402795,"ISCED 1","ISCED 2","male","no","no",360.425,373.239,379.652,187.2602,NA,"yes",NA,"1","0","0","0-10",NA,-2.4505
2022,"MEX","48400121",48402796,"ISCED 3A","ISCED 3A","female","yes","yes",355.964,526.053,420.999,271.917,NA,"yes",NA,"2","1","3+","26-100",NA,0.1093
2022,"MEX","48400266",48402797,"ISCED 3A","ISCED 3B, C","female","yes","yes",452.716,578.47,501.885,238.5986,NA,"yes",NA,"1","0","2","26-100",NA,0.5825
2022,"MEX","48400257",48402798,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",508.793,588.317,545.224,256.2015,NA,"no",NA,"2","0","2","11-25",NA,0.518
2022,"MEX","48400112",48402799,"ISCED 2","ISCED 3A","male","no","yes",361.734,371.077,357.882,67.81128,NA,"yes",NA,"2","1","0","11-25",NA,-0.7802
2022,"MEX","48400165",48402801,"ISCED 3A","ISCED 3A","female","no","yes",435.204,431.541,370.583,145.9768,NA,"no",NA,"1","0","1","26-100",NA,-0.742
2022,"MEX","48400196",48402802,"ISCED 3A","ISCED 3A","male","yes","yes",498.823,461.901,511.852,167.2751,NA,"yes",NA,"2","0","3+","101-200",NA,0.9017
2022,"MEX","48400009",48402803,"ISCED 2","ISCED 1","male","yes","yes",423.09,443.727,461.297,216.1905,NA,"no",NA,"1","0","1","11-25",NA,-1.5895
2022,"MEX","48400128",48402804,"ISCED 2","ISCED 3A","female","yes","yes",400.375,422.191,376.591,230.2321,NA,"no",NA,"1","1","2","11-25",NA,-1.3142
2022,"MEX","48400095",48402805,"ISCED 3A","ISCED 2","male","no","no",363.317,333.747,375.481,103.1083,NA,"yes",NA,"1","0","0","26-100",NA,-1.4176
2022,"MEX","48400021",48402806,"ISCED 2","less than ISCED1","female","yes","no",270.147,259.135,284.294,156.6543,NA,"yes",NA,"1","0","1","11-25",NA,-2.4525
2022,"MEX","48400132",48402807,"ISCED 2","ISCED 3A","female","yes","yes",375.139,328.045,417.505,91.67601,NA,"yes",NA,"1","0","1","11-25",NA,-1.486
2022,"MEX","48400020",48402808,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",423.979,559.391,494.657,92.32388,NA,"no",NA,"1","0","2","11-25",NA,0.4071
2022,"MEX","48400254",48402809,"ISCED 2","ISCED 3A","male","yes","yes",443.248,418.53,411.79,235.442,NA,"yes",NA,"1","1","0","0-10",NA,-1.7256
2022,"MEX","48400145",48402810,"ISCED 2","ISCED 3B, C","male","yes","yes",345.942,322.848,395.007,125.2078,NA,"yes",NA,"2","1","0","0-10",NA,-0.409
2022,"MEX","48400127",48402812,"ISCED 2",NA,"male","yes","yes",445.41,450.598,443.108,153.9767,NA,"yes",NA,"2","0",NA,"101-200",NA,0.8682
2022,"MEX","48400045",48402813,"ISCED 3B, C","ISCED 3B, C","female","no","yes",303.497,332.722,361.329,185.1185,NA,"yes",NA,"1","0","0","0-10",NA,-0.9542
