"year","country","school_id","fund_gov","fund_fees","fund_donation","enrol_boys","enrol_girls","stratio","public_private","staff_shortage","sch_wgt","school_size"
2022,"MEX","48400258",100,0,0,127,118,NA,"2",NA,NA,245
2022,"MEX","48400259",98,2,0,1710,1480,21.8493150684932,"2",1,NA,3190
2022,"MEX","48400260",0,100,0,258,257,9.53703703703704,"2",1,NA,515
2022,"MEX","48400261",100,0,0,298,321,21.3448275862069,"2",0.724137931034483,NA,619
2022,"MEX","48400262",100,0,0,33,47,NA,"2",NA,NA,80
2022,"MEX","48400263",100,0,0,1380,1620,88.2352941176471,"2",0.264705882352941,NA,3000
2022,"MEX","48400264",70,30,0,345,400,19.6052631578947,"2",1,NA,745
2022,"MEX","48400265",0,100,0,20,40,6,"1",0,NA,60
2022,"MEX","48400266",10,90,0,1096,1348,37.6,"2",1,NA,2444
2022,"MEX","48400267",0,100,0,40,46,NA,"1",NA,NA,86
2022,"MEX","48400268",80,20,NA,20,22,NA,"2",NA,NA,42
2022,"MEX","48400269",0,100,0,545,557,16.4477611940299,"2",0.91044776119403,NA,1102
2022,"MEX","48400270",0,50,0,112,105,7.75,"2",0.214285714285714,NA,217
2022,"MEX","48400271",0,100,0,45,134,25.5714285714286,"1",NA,NA,179
2022,"MEX","48400272",NA,NA,NA,59,54,9.41666666666667,"1",NA,NA,113
2022,"MEX","48400273",77,23,0,729,502,24.62,"2",0.92,NA,1231
2022,"MEX","48400274",19,79,1,396,392,14.0714285714286,"2",0,NA,788
2022,"MEX","48400275",0,100,0,294,401,46.3333333333333,"2",0.866666666666667,NA,695
2022,"MEX","48400276",100,0,0,262,356,NA,"2",NA,NA,618
2022,"MEX","48400277",5,65,0,435,478,14.0461538461538,"2",1,NA,913
2022,"MEX","48400278",100,0,0,460,619,13.8333333333333,"2",1,NA,1079
2022,"MEX","48400279",0,100,0,346,354,17.9487179487179,"2",1,NA,700
2022,"MEX","48400280",0,100,0,14,14,14,"2",0,NA,28
2022,"MEX","48400281",0,90,10,25,29,5.4,"1",0,NA,54
2022,"MEX","48400282",0,100,0,91,94,NA,"2",NA,NA,185
2022,"MEX","48400283",0,100,0,7,10,NA,"1",NA,NA,17
2022,"MEX","48400284",100,0,0,187,257,22.2,"2",1,NA,444
